label,none,SERRF,none,SERRF
CSH_negESI #374,0.68684804,0.09601956,0.696410535,0.145359923
CSH_negESI #375,0.349906524,0.050340085,0.320926135,0.089933481
CSH_negESI #376,0.627856929,0.060215635,0.713555069,0.129261623
CSH_negESI #377,0.474814212,0.13904824,0.470049998,0.099887876
CSH_negESI #378,0.369901851,0.054358541,0.502862694,0.053930106
CSH_negESI #379,0.280736766,0.111106988,0.209252067,0.11044278
CSH_negESI #380,0.25861263,0.084889388,0.290293072,0.048105119
CSH_negESI #381,0.403847732,0.207191199,0.198219738,0.194538986
CSH_negESI #382,0.194638509,0.098764814,0.160208225,0.138424631
CSH_negESI #384,0.226484021,0.052294546,0.312481688,0.043554045
CSH_negESI #385,0.238760822,0.102098199,0.211428581,0.038445743
CSH_negESI #386,0.333161412,0.045790299,0.370786264,0.044669516
CSH_negESI #386.1,0.290443931,0.139917702,0.285853894,0.109236325
CSH_negESI #387,0.301242178,0.076550697,0.324173656,0.044589513
CSH_negESI #388,0.465252239,0.061546203,0.482794089,0.093773531
CSH_negESI #389,0.391100252,0.174325995,0.3986921,0.073898452
CSH_negESI #390,0.271843459,0.067125844,0.332480594,0.097157782
CSH_negESI #391,0.949284166,0.081954766,0.912424407,0.103987389
CSH_negESI #392,0.556099343,0.209059969,0.746589727,0.259754367
CSH_negESI #393,0.637417236,0.095247149,0.574672463,0.342108185
CSH_negESI #394,0.27523772,0.087544149,0.319188847,0.10877404
CSH_negESI #395,0.565056248,0.049342743,0.613004867,0.353389038
CSH_negESI #396,0.248593892,0.063922667,0.233842044,0.063792426
CSH_negESI #397,0.227789581,0.069746219,0.277074294,0.098383246
CSH_negESI #400,0.266493216,0.12750598,0.283164281,0.080088867
CSH_negESI #401,0.798976759,0.081805495,0.958674467,0.142476512
CSH_negESI #500,0.226963169,0.072242738,0.118918153,0.0697396
CSH_negESI #501,0.286445248,0.027668188,0.326856837,0.025973411
CSH_negESI #502,0.270409748,0.038786754,0.295542103,0.097326093
